Код;Наименование;Иерархия;Артикул;Количество;Цена;Бренд;ИмяФайлаИзображения;Новинка;HAPPY_МОЛЛОстаток;ГлобусОстаток;ЛазурныйОстаток;ОранжевыйОстаток;ПассажОстаток;ТауОстаток;ЗаказОстаток;10 летняя батарея;Bluetooth;Барометр\альтиметр;Браслет;Будильник;Включение,отключение звука кнопок;Водозащита;Грязеустойчивость;Дополнительно;Индикатор приливов и отливов;Индикатор уровня заряда аккумулятора;Компас;Материал корпуса;Мелодия;Мировое время;Отображение данных о Луне;Пол;Прием радиосигнала точного времени;Размер корпуса;Резерв хода;Сверх яркая подсветка;Связь со смартфоном;Скидка;Солнечная батарея;Стекло;Страна бренда;Страна производитель;Таймер;Таймер рыбалки;Термометр;Тип механизма;Ударопрочность;Устойчивость к воздействию магнитного поля;Форма корпуса;Функция поиска телефона;Функция секундомера;Хит продаж;Ход стрелки;Хронограф;Циферблат;Шагомер;ЦенаСоСкидкой;
00054656954;A-158WA-1 Casio;ЧАСЫ/Наручные/Casio (Япония);A-158WA-1;5;3690;Casio (Япония);A-158WA-1.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;36;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;есть;;;;Цифровой;;3690;
Ц0000006021;A-158WEA-1E Casio;ЧАСЫ/Наручные/Casio (Япония);A-158WEA-1E;1;3690;Casio (Япония);A-158WEA-1E.jpg;0;0;1;0;0;0;0;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;36;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3690;
Ц0000010343;A-158WEA-9E Casio;ЧАСЫ/Наручные/Casio (Япония);A-158WEA-9E;5;3690;Casio (Япония);A-158WEA-9E.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3690;
Ц0000019909;A-158WETB-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A-158WETB-1A;0;7390;Casio (Япония);A-158WETB-1A.jpg;0;0;0;0;0;0;0;0;;;;Стальной с IP покрытием;;;WR;;;;;;Пластик;;;;Унисекс;;32;;;;;;Минеральное;Япония;Япония;;;;Кварцевый;;;Прямоугольник;;есть;;;;Цифровой;;7390;
Ц0000004432;A-159W-N1D Casio;ЧАСЫ/Наручные/Casio (Япония);A-159W-N1D;2;3490;Casio (Япония);A-159W-N1D.jpg;0;0;0;0;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Нержавеющая сталь ;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;;;;;Цифровой;;3490;
СТ000001229;A-159WA-N1 Casio;ЧАСЫ/Наручные/Casio (Япония);A-159WA-N1;3;3490;Casio (Япония);A-159WA-N1.jpg;0;1;1;1;0;0;0;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3490;
Ц0000010344;A-159WGEA-1E Casio;ЧАСЫ/Наручные/Casio (Япония);A-159WGEA-1E;5;6990;Casio (Япония);A-159WGEA-1E.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;6990;
Ц0000016873;A-159WGEA-5D Casio;ЧАСЫ/Наручные/Casio (Япония);A-159WGEA-5D;1;6990;Casio (Япония);A-159WGEA-5D.jpg;0;0;0;1;0;0;0;0;;;;Стальной;;;WR 30m;;;;;;Пластик, сталь;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;6990;
Ц0000003916;A-163WA-1 Casio;ЧАСЫ/Наручные/Casio (Япония);A-163WA-1;5;3890;Casio (Япония);A-163WA-1.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3890;
Д0000001019;A-164WA-1 Casio;ЧАСЫ/Наручные/Casio (Япония);A-164WA-1;5;3990;Casio (Япония);A-164WA-1.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;37;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3990;
00054656955;A-168WA-1 Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WA-1;5;3990;Casio (Япония);A-168WA-1.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;3990;
Ц0000009972;A-168WEGB-1B Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WEGB-1B;5;7990;Casio (Япония);A-168WEGB-1B.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;Цифровой;;7990;
Ц0000019523;A-168WEGC-3E Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WEGC-3E;5;6450;Casio (Япония);A-168WEGC-3E .jpg;0;1;1;1;0;1;1;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Мужские;;38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;;;;6450;
Ц0000020003;A-168WEGG-1B Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WEGG-1B;0;6490;Casio (Япония);A-168WEGG-1B.jpg;0;0;0;0;0;0;0;0;;;;Стальной с IP покрытием;;;WR;;;;;;Пластик;;;;Мужские;;36*38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;6490;
Ц0000012054;A-168WEM-1E Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WEM-1E;5;5890;Casio (Япония);A-168WEM-1E.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;есть;;;есть;Цифровой;;5890;
Ц0000014736;A-168WEM-7E Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WEM-7E;5;5890;Casio (Япония);A-168WEM-7E.jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR;;;;;;Пластик;;;;Мужские;;38;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Прямоугольник;;есть;;;есть;Цифровой;;5890;
Ц0000017143;A-168WG-9 Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WG-9;5;6490;Casio (Япония);A-168WG-9.jpg;0;1;1;1;0;1;1;0;;;;Стальной с IP покрытием;;;WR;;;;;;Сталь с IP покрытием;;;;Мужские;;38;;;;;;Минеральное;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;;Цифровой;;6490;
Ц0000016451;A-168WG-9B Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WG-9B;1;5990;Casio (Япония);A-168WG-9B.jpg;0;0;1;0;0;0;0;0;;;;Стальной;;;WR;;;;;;Пластик, сталь;;;;Мужские;;;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;;;;;Цифровой;;5990;
Ц0000021038;A-168WG-9W Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WG-9W;1;5990;Casio (Япония);A-168WG-9W .jpg;0;0;0;0;0;0;1;0;;;;Стальной;есть;;WR 30m;;;;;;Пластик;;;;Мужские;;36*38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;есть;;;;Цифровой;;5990;
Ц0000021027;A-168WGG-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WGG-1A;5;6490;Casio (Япония);A-168WGG-1A .jpg;0;1;1;1;0;1;1;0;;;;Стальной;есть;;WR 30m;;;;;;Пластик;;;;Мужские;;36*38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;есть;Цифровой;;6490;
Ц0000021088;A-168WGG-1B Casio;ЧАСЫ/Наручные/Casio (Япония);A-168WGG-1B;1;6490;Casio (Япония);A-168WGG-1B.jpg;0;0;0;0;0;1;0;0;;;;Стальной;есть;;WR 30m;;;;;;Пластик;;;;;;36*38;;;;;;Органическое;Япония;;;;;Кварцевый;;;Прямоугольник;;;;;есть;Цифровой;;6490;
Ц0000001651;A-178WA-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A-178WA-1A;5;2990;Casio (Япония);A-178WA-1A.jpg;0;1;1;1;0;1;1;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Мужские;;Стандартный;;;;;;Органическое;Япония;;;;;Кварцевый;;;Квадрат;;;;;;Цифровой;;2990;
Ц0000016271;A-178WGA-1A Casio;ЧАСЫ/Наручные/Casio (Япония);A-178WGA-1A;2;6290;Casio (Япония);A-178WGA-1A.jpg;0;0;0;1;0;0;1;0;;;;Стальной с IP покрытием;;;WR 30m;;;;;;Пластик, сталь;;;;Унисекс;;Стандартный;;;;;;Минеральное;Япония;;;;;Процессор;;;Квадрат;;;;;;Цифровой;;6290;
Ц0000019571;A-500WA-1 Casio;ЧАСЫ/Наручные/Casio (Япония);A-500WA-1;2;4350;Casio (Япония);A-500WA-1.jpg;0;0;1;0;0;0;1;0;;;;Стальной;;;WR;;;;;;Пластик;;;;Унисекс;;39;;;;;;Минеральное;Япония;Япония;есть;;;Кварцевый;;;Прямоугольник;;есть;;;;Цифровой;;4350;
